Latitude (decimal degrees):	52.546
Longitude (decimal degrees):	11.399
Elevation (m):	41
Radiation database:	PVGIS-SARAH2


Slope: 10 deg. 
Azimuth: 99 deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200102:2311,0.0,0.0,0.0,1.27,2.97,0.0
20200103:0011,0.0,0.0,0.0,1.72,3.17,0.0
20200103:0111,0.0,0.0,0.0,2.05,3.38,0.0
20200103:0211,0.0,0.0,0.0,2.32,3.38,0.0
20200103:0311,0.0,0.0,0.0,2.63,3.24,0.0
20200103:0411,0.0,0.0,0.0,3.0,3.45,0.0
20200103:0511,0.0,0.0,0.0,3.51,3.72,0.0
20200103:0611,0.0,0.0,0.0,3.82,3.79,0.0
20200103:0711,0.0,0.0,0.0,3.92,3.93,0.0
20200103:0811,0.0,3.95,4.29,4.27,3.79,0.0
20200103:0911,12810.0,26.83,9.66,4.75,3.93,0.0
20200103:1011,38630.0,59.63,13.19,5.27,4.14,0.0
20200103:1111,74210.0,102.37,14.61,5.82,4.28,0.0
20200103:1211,73450.0,101.72,13.76,6.04,4.34,0.0
20200103:1311,46170.0,69.58,10.75,6.28,4.34,0.0
20200103:1411,28770.0,51.26,5.82,6.36,4.48,0.0
20200103:1511,0.0,0.0,0.0,6.42,4.55,0.0
20200103:1611,0.0,0.0,0.0,6.69,4.48,0.0
20200103:1711,0.0,0.0,0.0,6.82,4.41,0.0
20200103:1811,0.0,0.0,0.0,6.94,4.55,0.0
20200103:1911,0.0,0.0,0.0,7.0,4.48,0.0
20200103:2011,0.0,0.0,0.0,7.05,4.48,0.0
20200103:2111,0.0,0.0,0.0,6.51,5.1,0.0
20200103:2211,0.0,0.0,0.0,5.33,4.41,0.0
20200103:2311,0.0,0.0,0.0,4.34,4.21,0.0
20200104:0011,0.0,0.0,0.0,3.86,4.28,0.0
20200104:0111,0.0,0.0,0.0,4.07,4.34,0.0
20200104:0211,0.0,0.0,0.0,4.13,4.41,0.0
20200104:0311,0.0,0.0,0.0,3.92,4.55,0.0
20200104:0411,0.0,0.0,0.0,3.58,4.76,0.0
20200104:0511,0.0,0.0,0.0,3.61,4.97,0.0
20200104:0611,0.0,0.0,0.0,3.88,5.17,0.0
20200104:0711,0.0,0.0,0.0,3.82,5.38,0.0
20200104:0811,11340.0,24.71,4.34,4.0,5.59,0.0
20200104:0911,44320.0,67.99,9.72,4.28,5.86,0.0
20200104:1011,9990.0,22.86,13.27,4.69,6.14,0.0
20200104:1111,89750.0,120.87,14.7,5.05,6.55,0.0
20200104:1211,35340.0,55.66,13.88,5.45,6.83,0.0
20200104:1311,14190.0,28.82,10.87,5.74,6.83,0.0
20200104:1411,20270.0,37.83,5.95,5.61,7.31,0.0
20200104:1511,0.0,0.0,0.0,4.89,6.28,0.0
20200104:1611,0.0,0.0,0.0,3.95,5.17,0.0
20200104:1711,0.0,0.0,0.0,3.14,4.83,0.0
20200104:1811,0.0,0.0,0.0,2.77,4.76,0.0
20200104:1911,0.0,0.0,0.0,2.97,4.69,0.0
20200104:2011,0.0,0.0,0.0,2.83,4.28,0.0
20200104:2111,0.0,0.0,0.0,2.51,3.79,0.0
20200104:2211,0.0,0.0,0.0,2.09,3.38,0.0
20200104:2311,0.0,0.0,0.0,1.59,3.17,0.0
20200105:0011,0.0,0.0,0.0,1.14,2.97,0.0
20200105:0111,0.0,0.0,0.0,0.65,2.83,0.0
20200105:0211,0.0,0.0,0.0,0.38,2.9,0.0
20200105:0311,0.0,0.0,0.0,0.25,2.97,0.0
20200105:0411,0.0,0.0,0.0,0.3,2.69,0.0
20200105:0511,0.0,0.0,0.0,0.16,2.28,0.0
20200105:0611,0.0,0.0,0.0,0.05,2.07,0.0
20200105:0711,0.0,0.0,0.0,0.31,2.0,0.0
20200105:0811,10140.0,22.73,4.39,0.37,1.79,0.0
20200105:0911,47800.0,73.12,9.79,1.29,1.52,0.0
20200105:1011,63520.0,88.84,13.36,2.18,1.72,0.0
20200105:1111,136390.0,195.21,14.81,2.97,1.93,0.0
20200105:1211,104160.0,139.55,14.0,3.76,2.07,0.0
20200105:1311,60780.0,87.13,11.01,3.88,2.07,0.0
20200105:1411,7330.0,18.88,6.09,3.84,2.14,0.0
20200105:1511,0.0,0.0,0.0,3.47,2.28,0.0
20200105:1611,0.0,0.0,0.0,3.49,2.34,0.0
20200105:1711,0.0,0.0,0.0,3.69,2.41,0.0
20200105:1811,0.0,0.0,0.0,3.86,2.41,0.0
20200105:1911,0.0,0.0,0.0,4.25,2.69,0.0
20200105:2011,0.0,0.0,0.0,4.55,2.69,0.0
20200105:2111,0.0,0.0,0.0,4.63,2.9,0.0
20200105:2211,0.0,0.0,0.0,4.44,3.03,0.0
20200105:2311,0.0,0.0,0.0,4.34,3.1,0.0
20200106:0011,0.0,0.0,0.0,4.36,3.1,0.0
20200106:0111,0.0,0.0,0.0,4.24,3.1,0.0
20200106:0211,0.0,0.0,0.0,4.25,3.1,0.0
20200106:0311,0.0,0.0,0.0,4.07,3.03,0.0
20200106:0411,0.0,0.0,0.0,4.0,2.9,0.0
20200106:0511,0.0,0.0,0.0,4.06,2.76,0.0
20200106:0611,0.0,0.0,0.0,4.0,2.69,0.0
20200106:0711,0.0,0.0,0.0,4.25,2.76,0.0
20200106:0811,13450.0,27.67,4.45,4.16,2.55,0.0
20200106:0911,49870.0,78.68,9.87,4.31,2.41,0.0
20200106:1011,93120.0,135.47,13.46,4.88,2.21,0.0
20200106:1111,106850.0,143.75,14.92,5.24,2.21,0.0
20200106:1211,70320.0,97.57,14.13,5.57,2.34,0.0
20200106:1311,17120.0,32.8,11.15,5.73,2.28,0.0
20200106:1411,5350.0,15.9,6.24,5.56,2.28,0.0
20200106:1511,0.0,0.0,0.0,5.19,2.14,0.0
20200106:1611,0.0,0.0,0.0,4.54,2.07,0.0
20200106:1711,0.0,0.0,0.0,4.18,2.14,0.0
20200106:1811,0.0,0.0,0.0,3.77,2.34,0.0
20200106:1911,0.0,0.0,0.0,3.0,2.34,0.0
20200106:2011,0.0,0.0,0.0,2.35,2.21,0.0
20200106:2111,0.0,0.0,0.0,1.61,2.21,0.0
20200106:2211,0.0,0.0,0.0,1.03,2.14,0.0
20200106:2311,0.0,0.0,0.0,0.58,2.07,0.0
20200107:0011,0.0,0.0,0.0,0.18,2.07,0.0
20200107:0111,0.0,0.0,0.0,0.04,2.21,0.0
20200107:0211,0.0,0.0,0.0,0.23,2.28,0.0
20200107:0311,0.0,0.0,0.0,0.35,2.48,0.0
20200107:0411,0.0,0.0,0.0,0.73,2.62,0.0
20200107:0511,0.0,0.0,0.0,1.2,2.55,0.0
20200107:0611,0.0,0.0,0.0,1.91,2.55,0.0
20200107:0711,0.0,0.0,0.0,3.15,3.03,0.0
20200107:0811,13490.0,27.67,4.52,3.71,3.1,0.0
20200107:0911,34640.0,54.89,9.95,4.35,3.1,0.0
20200107:1011,35350.0,55.66,13.56,5.03,2.97,0.0
20200107:1111,28760.0,47.71,15.05,5.73,2.9,0.0
20200107:1211,54980.0,79.55,14.26,6.34,2.34,0.0
20200107:1311,55420.0,81.09,11.29,6.84,2.76,0.0
20200107:1411,17400.0,33.73,6.39,6.74,2.62,0.0
20200107:1511,0.0,0.0,0.0,6.5,2.76,0.0
20200107:1611,0.0,0.0,0.0,6.23,2.83,0.0
20200107:1711,0.0,0.0,0.0,5.87,2.83,0.0
20200107:1811,0.0,0.0,0.0,5.32,2.76,0.0
20200107:1911,0.0,0.0,0.0,4.5,2.97,0.0
20200107:2011,0.0,0.0,0.0,4.39,3.31,0.0
20200107:2111,0.0,0.0,0.0,4.65,3.52,0.0
20200107:2211,0.0,0.0,0.0,4.73,3.59,0.0
20200107:2311,0.0,0.0,0.0,4.75,3.45,0.0
20200108:0011,0.0,0.0,0.0,4.81,3.45,0.0
20200108:0111,0.0,0.0,0.0,4.95,3.52,0.0
20200108:0211,0.0,0.0,0.0,4.85,3.31,0.0
20200108:0311,0.0,0.0,0.0,4.86,3.72,0.0
20200108:0411,0.0,0.0,0.0,4.94,4.0,0.0
20200108:0511,0.0,0.0,0.0,5.13,3.93,0.0
20200108:0611,0.0,0.0,0.0,5.1,3.86,0.0
20200108:0711,0.0,0.0,0.0,5.52,3.79,0.0
20200108:0811,11910.0,25.7,4.59,5.98,3.72,0.0
20200108:0911,7220.0,18.88,10.04,6.55,3.86,0.0
20200108:1011,39110.0,60.63,13.67,6.99,3.93,0.0
20200108:1111,53750.0,78.36,15.17,7.46,4.07,0.0
20200108:1211,34050.0,54.66,14.41,7.97,4.07,0.0
20200108:1311,31590.0,51.68,11.44,8.27,4.07,0.0
20200108:1411,520.0,6.96,6.55,8.55,3.93,0.0
20200108:1511,0.0,0.0,0.0,8.81,3.79,0.0
20200108:1611,0.0,0.0,0.0,9.06,3.72,0.0
20200108:1711,0.0,0.0,0.0,9.24,3.59,0.0
20200108:1811,0.0,0.0,0.0,9.38,3.45,0.0
20200108:1911,0.0,0.0,0.0,8.57,3.1,0.0
20200108:2011,0.0,0.0,0.0,8.55,2.76,0.0
20200108:2111,0.0,0.0,0.0,8.52,2.55,0.0
20200108:2211,0.0,0.0,0.0,8.47,2.34,0.0
20200108:2311,0.0,0.0,0.0,8.37,2.41,0.0
20200109:0011,0.0,0.0,0.0,8.31,2.34,0.0
20200109:0111,0.0,0.0,0.0,8.27,2.21,0.0
20200109:0211,0.0,0.0,0.0,8.19,2.21,0.0
20200109:0311,0.0,0.0,0.0,8.2,2.21,0.0
20200109:0411,0.0,0.0,0.0,8.15,2.07,0.0
20200109:0511,0.0,0.0,0.0,8.05,2.14,0.0
20200109:0611,0.0,0.0,0.0,7.93,2.28,0.0
20200109:0711,0.0,0.0,0.0,7.78,2.76,0.0
20200109:0811,0.0,3.95,4.67,7.84,3.03,0.0
20200109:0911,38840.0,61.29,10.14,8.11,3.24,0.0
20200109:1011,22880.0,40.75,13.79,8.69,3.31,0.0
20200109:1111,48500.0,72.55,15.31,9.38,3.52,0.0
20200109:1211,74620.0,104.62,14.56,9.95,3.59,0.0
20200109:1311,38550.0,60.92,11.6,10.19,3.59,0.0
20200109:1411,5810.0,16.9,6.71,10.31,3.66,0.0
20200109:1511,0.0,0.0,0.0,10.47,3.59,0.0
20200109:1611,0.0,0.0,0.0,10.63,3.52,0.0
20200109:1711,0.0,0.0,0.0,10.84,3.38,0.0
20200109:1811,0.0,0.0,0.0,11.1,3.38,0.0
20200109:1911,0.0,0.0,0.0,11.01,3.45,0.0
20200109:2011,0.0,0.0,0.0,11.13,3.38,0.0
20200109:2111,0.0,0.0,0.0,11.13,3.38,0.0
20200109:2211,0.0,0.0,0.0,11.1,3.38,0.0
20200109:2311,0.0,0.0,0.0,10.84,3.38,0.0
20200110:0011,0.0,0.0,0.0,10.61,3.38,0.0
20200110:0111,0.0,0.0,0.0,10.24,3.24,0.0
20200110:0211,0.0,0.0,0.0,9.95,3.24,0.0
20200110:0311,0.0,0.0,0.0,9.73,3.38,0.0
20200110:0411,0.0,0.0,0.0,9.61,3.52,0.0
20200110:0511,0.0,0.0,0.0,9.47,3.59,0.0
20200110:0611,0.0,0.0,0.0,9.38,3.93,0.0
20200110:0711,0.0,0.0,0.0,9.71,4.21,0.0
20200110:0811,10990.0,24.71,4.76,9.52,4.28,0.0
20200110:0911,32220.0,74.86,10.25,9.5,3.79,0.0
20200110:1011,94660.0,149.93,13.91,9.6,3.86,0.0
20200110:1111,133210.0,186.68,15.45,9.93,4.0,0.0
20200110:1211,116920.0,158.64,14.71,10.06,4.34,0.0
20200110:1311,124690.0,176.59,11.77,9.85,4.55,0.0
20200110:1411,17140.0,33.65,6.88,9.32,4.28,0.0
20200110:1511,0.0,0.0,0.0,8.72,4.14,0.0
20200110:1611,0.0,0.0,0.0,8.22,4.48,0.0
20200110:1711,0.0,0.0,0.0,7.61,5.17,0.0
20200110:1811,0.0,0.0,0.0,6.88,5.17,0.0
20200110:1911,0.0,0.0,0.0,6.07,4.97,0.0
20200110:2011,0.0,0.0,0.0,5.71,4.55,0.0
20200110:2111,0.0,0.0,0.0,5.45,4.55,0.0
20200110:2211,0.0,0.0,0.0,5.25,4.34,0.0
20200110:2311,0.0,0.0,0.0,5.16,4.07,0.0
20200111:0011,0.0,0.0,0.0,5.17,3.93,0.0
20200111:0111,0.0,0.0,0.0,5.09,3.79,0.0
20200111:0211,0.0,0.0,0.0,5.1,3.59,0.0
20200111:0311,0.0,0.0,0.0,4.86,3.24,0.0
20200111:0411,0.0,0.0,0.0,4.62,3.24,0.0
20200111:0511,0.0,0.0,0.0,4.33,3.03,0.0
20200111:0611,0.0,0.0,0.0,4.07,2.62,0.0
20200111:0711,0.0,0.0,0.0,3.34,2.21,0.0
20200111:0811,8630.0,20.76,4.86,2.87,2.28,0.0
20200111:0911,26570.0,72.95,10.36,3.18,2.0,0.0
20200111:1011,101010.0,147.73,14.05,4.09,2.55,0.0
20200111:1111,135820.0,183.88,15.6,5.04,2.83,0.0
20200111:1211,146390.0,195.89,14.88,5.73,3.1,0.0
20200111:1311,85840.0,119.03,11.94,6.13,3.38,0.0
20200111:1411,34380.0,56.97,7.06,5.86,3.24,0.0
20200111:1511,0.0,0.0,0.0,5.37,3.31,0.0
20200111:1611,0.0,0.0,0.0,4.67,3.24,0.0
20200111:1711,0.0,0.0,0.0,4.29,3.31,0.0
20200111:1811,0.0,0.0,0.0,3.84,3.45,0.0
20200111:1911,0.0,0.0,0.0,3.59,3.59,0.0
20200111:2011,0.0,0.0,0.0,3.35,3.66,0.0
20200111:2111,0.0,0.0,0.0,3.23,3.52,0.0
20200111:2211,0.0,0.0,0.0,3.13,3.52,0.0
20200111:2311,0.0,0.0,0.0,3.02,3.52,0.0
20200112:0011,0.0,0.0,0.0,3.03,3.52,0.0
20200112:0111,0.0,0.0,0.0,2.87,3.52,0.0
20200112:0211,0.0,0.0,0.0,2.76,3.52,0.0
20200112:0311,0.0,0.0,0.0,2.68,3.52,0.0
20200112:0411,0.0,0.0,0.0,2.77,3.45,0.0
20200112:0511,0.0,0.0,0.0,2.76,3.38,0.0
20200112:0611,0.0,0.0,0.0,2.67,3.45,0.0
20200112:0711,0.0,0.0,0.0,2.59,3.72,0.0
20200112:0811,15760.0,30.64,4.96,2.84,3.72,0.0
20200112:0911,35030.0,77.59,10.48,3.34,3.79,0.0
20200112:1011,100300.0,156.16,14.19,4.12,3.17,0.0
20200112:1111,112850.0,149.58,15.76,4.85,3.72,0.0
20200112:1211,143970.0,191.59,15.05,5.56,3.93,0.0
20200112:1311,112460.0,154.3,12.12,5.85,3.52,0.0
20200112:1411,6600.0,17.89,7.24,6.03,4.55,0.0
20200112:1511,0.0,0.0,0.0,6.07,4.48,0.0
20200112:1611,0.0,0.0,0.0,6.49,4.76,0.0
20200112:1711,0.0,0.0,0.0,7.07,5.1,0.0
20200112:1811,0.0,0.0,0.0,7.27,5.24,0.0
20200112:1911,0.0,0.0,0.0,6.67,5.45,0.0
20200112:2011,0.0,0.0,0.0,7.09,5.38,0.0
20200112:2111,0.0,0.0,0.0,7.33,5.17,0.0
20200112:2211,0.0,0.0,0.0,7.54,4.97,0.0
20200112:2311,0.0,0.0,0.0,7.68,4.83,0.0
20200113:0011,0.0,0.0,0.0,7.71,4.69,0.0
20200113:0111,0.0,0.0,0.0,7.59,4.41,0.0
20200113:0211,0.0,0.0,0.0,7.39,3.93,0.0
20200113:0311,0.0,0.0,0.0,7.05,3.52,0.0
20200113:0411,0.0,0.0,0.0,6.69,3.1,0.0
20200113:0511,0.0,0.0,0.0,6.3,2.69,0.0
20200113:0611,0.0,0.0,0.0,6.09,2.34,0.0
20200113:0711,0.0,0.0,0.0,5.59,2.21,0.0
20200113:0811,14050.0,28.66,5.07,5.78,2.62,0.0
20200113:0911,38440.0,60.14,10.61,6.25,3.03,0.0
20200113:1011,71590.0,100.04,14.33,6.88,3.31,0.0
20200113:1111,143790.0,197.78,15.92,7.34,3.93,0.0
20200113:1211,131950.0,175.81,15.22,7.64,3.66,0.0
20200113:1311,71030.0,100.3,12.3,7.73,3.38,0.0
20200113:1411,35660.0,58.67,7.43,7.21,2.9,0.0
20200113:1511,0.0,0.0,0.0,6.55,2.48,0.0
20200113:1611,0.0,0.0,0.0,5.96,2.55,0.0
20200113:1711,0.0,0.0,0.0,5.56,2.76,0.0
20200113:1811,0.0,0.0,0.0,5.29,2.9,0.0
20200113:1911,0.0,0.0,0.0,4.48,2.62,0.0
20200113:2011,0.0,0.0,0.0,4.27,2.9,0.0
20200113:2111,0.0,0.0,0.0,4.28,3.24,0.0
20200113:2211,0.0,0.0,0.0,4.54,3.52,0.0
20200113:2311,0.0,0.0,0.0,4.52,3.59,0.0
20200114:0011,0.0,0.0,0.0,4.67,3.59,0.0
20200114:0111,0.0,0.0,0.0,4.96,3.72,0.0
20200114:0211,0.0,0.0,0.0,5.55,3.93,0.0
20200114:0311,0.0,0.0,0.0,6.21,4.21,0.0
20200114:0411,0.0,0.0,0.0,6.79,4.62,0.0
20200114:0511,0.0,0.0,0.0,7.26,4.9,0.0
20200114:0611,0.0,0.0,0.0,7.7,5.1,0.0
20200114:0711,0.0,0.0,0.0,7.99,5.17,0.0
20200114:0811,11060.0,24.71,5.18,8.37,5.38,0.0
20200114:0911,51570.0,86.04,10.74,8.85,5.45,0.0
20200114:1011,97390.0,139.82,14.49,9.4,5.38,0.0
20200114:1111,62360.0,89.29,16.09,10.12,5.24,0.0
20200114:1211,73980.0,103.51,15.41,10.33,4.97,0.0
20200114:1311,59520.0,86.87,12.49,10.57,4.76,0.0
20200114:1411,35030.0,58.52,7.62,10.57,4.41,0.0
20200114:1511,0.0,0.0,0.0,10.57,4.28,0.0
20200114:1611,0.0,0.0,0.0,9.79,4.0,0.0
20200114:1711,0.0,0.0,0.0,9.8,4.28,0.0
20200114:1811,0.0,0.0,0.0,9.92,4.76,0.0
20200114:1911,0.0,0.0,0.0,10.04,4.97,0.0
20200114:2011,0.0,0.0,0.0,9.98,5.17,0.0
20200114:2111,0.0,0.0,0.0,10.15,5.45,0.0
20200114:2211,0.0,0.0,0.0,10.09,5.45,0.0
20200114:2311,0.0,0.0,0.0,10.05,5.24,0.0
20200115:0011,0.0,0.0,0.0,10.06,5.1,0.0
20200115:0111,0.0,0.0,0.0,10.17,5.03,0.0
20200115:0211,0.0,0.0,0.0,10.34,4.9,0.0
20200115:0311,0.0,0.0,0.0,10.27,4.83,0.0
20200115:0411,0.0,0.0,0.0,10.2,4.69,0.0
20200115:0511,0.0,0.0,0.0,10.33,4.55,0.0
20200115:0611,0.0,0.0,0.0,10.31,4.41,0.0
20200115:0711,0.0,0.0,0.0,10.17,4.97,0.0
20200115:0811,16600.0,32.62,5.31,10.16,5.24,0.0
20200115:0911,49950.0,76.23,10.89,10.53,5.38,0.0
20200115:1011,102860.0,163.23,14.65,11.24,5.24,0.0
20200115:1111,153830.0,221.18,16.27,11.83,4.34,0.0
20200115:1211,165870.0,228.37,15.6,12.0,4.41,0.0
20200115:1311,44710.0,68.84,12.69,12.1,5.24,0.0
20200115:1411,40360.0,66.0,7.82,11.98,4.9,0.0
20200115:1511,0.0,0.0,0.0,11.27,4.69,0.0
20200115:1611,0.0,0.0,0.0,10.48,4.62,0.0
20200115:1711,0.0,0.0,0.0,10.05,4.62,0.0
20200115:1811,0.0,0.0,0.0,9.87,4.69,0.0
20200115:1911,0.0,0.0,0.0,10.7,4.9,0.0
20200115:2011,0.0,0.0,0.0,10.65,4.69,0.0
20200115:2111,0.0,0.0,0.0,10.83,4.62,0.0
20200115:2211,0.0,0.0,0.0,10.97,4.41,0.0
20200115:2311,0.0,0.0,0.0,10.74,4.0,0.0
20200116:0011,0.0,0.0,0.0,10.03,3.93,0.0
20200116:0111,0.0,0.0,0.0,8.99,3.52,0.0
20200116:0211,0.0,0.0,0.0,7.97,3.17,0.0
20200116:0311,0.0,0.0,0.0,7.14,2.97,0.0
20200116:0411,0.0,0.0,0.0,6.56,2.97,0.0
20200116:0511,0.0,0.0,0.0,6.06,2.83,0.0
20200116:0611,0.0,0.0,0.0,5.53,2.69,0.0
20200116:0711,0.0,0.0,0.0,4.86,2.55,0.0
20200116:0811,14860.0,29.65,5.44,4.71,2.41,0.0
20200116:0911,33340.0,83.54,11.04,5.47,2.21,0.0
20200116:1011,107770.0,173.13,14.82,6.87,1.93,0.0
20200116:1111,162470.0,230.36,16.45,8.17,1.93,0.0
20200116:1211,172030.0,233.19,15.79,9.04,1.93,0.0
20200116:1311,169120.0,237.31,12.89,9.5,1.72,0.0
20200116:1411,104470.0,160.66,8.02,9.26,1.52,0.0
20200116:1511,0.0,0.0,0.0,8.35,2.07,0.0
20200116:1611,0.0,0.0,0.0,7.38,2.41,0.0
20200116:1711,0.0,0.0,0.0,6.91,2.55,0.0
20200116:1811,0.0,0.0,0.0,6.67,2.69,0.0
20200116:1911,0.0,0.0,0.0,6.13,2.83,0.0
20200116:2011,0.0,0.0,0.0,5.95,2.9,0.0
20200116:2111,0.0,0.0,0.0,5.82,2.9,0.0
20200116:2211,0.0,0.0,0.0,5.66,3.03,0.0
20200116:2311,0.0,0.0,0.0,5.44,3.1,0.0
20200117:0011,0.0,0.0,0.0,5.21,3.1,0.0
20200117:0111,0.0,0.0,0.0,4.98,2.97,0.0
20200117:0211,0.0,0.0,0.0,4.75,2.9,0.0
20200117:0311,0.0,0.0,0.0,4.49,2.9,0.0
20200117:0411,0.0,0.0,0.0,4.3,3.03,0.0
20200117:0511,0.0,0.0,0.0,4.14,3.1,0.0
20200117:0611,0.0,0.0,0.0,4.01,3.17,0.0
20200117:0711,0.0,0.0,0.0,3.66,3.17,0.0
20200117:0811,15690.0,30.64,5.57,3.59,3.31,0.0
20200117:0911,35040.0,85.08,11.19,4.27,3.38,0.0
20200117:1011,109530.0,174.31,14.99,5.25,3.24,0.0
20200117:1111,167170.0,234.8,16.64,6.36,3.24,0.0
20200117:1211,186230.0,251.58,15.99,7.2,3.03,0.0
20200117:1311,169310.0,233.52,13.1,7.7,2.69,0.0
20200117:1411,110160.0,167.39,8.23,7.67,2.21,0.0
20200117:1511,0.0,0.0,0.0,6.81,2.28,0.0
20200117:1611,0.0,0.0,0.0,5.9,2.34,0.0
20200117:1711,0.0,0.0,0.0,5.59,2.34,0.0
20200117:1811,0.0,0.0,0.0,5.41,2.48,0.0
20200117:1911,0.0,0.0,0.0,6.4,2.48,0.0
20200117:2011,0.0,0.0,0.0,7.13,2.9,0.0
20200117:2111,0.0,0.0,0.0,7.79,3.38,0.0
20200117:2211,0.0,0.0,0.0,8.08,3.66,0.0
20200117:2311,0.0,0.0,0.0,7.95,3.72,0.0
20200118:0011,0.0,0.0,0.0,7.58,4.21,0.0
20200118:0111,0.0,0.0,0.0,7.0,4.55,0.0
20200118:0211,0.0,0.0,0.0,6.26,4.69,0.0
20200118:0311,0.0,0.0,0.0,5.76,4.48,0.0
20200118:0411,0.0,0.0,0.0,5.49,4.14,0.0
20200118:0511,0.0,0.0,0.0,5.2,3.86,0.0
20200118:0611,0.0,0.0,0.0,4.78,3.66,0.0
20200118:0711,0.0,0.0,0.0,4.4,3.52,0.0
20200118:0811,9240.0,21.74,5.72,4.2,3.45,0.0
20200118:0911,61080.0,93.74,11.35,4.67,3.59,0.0
20200118:1011,98980.0,134.06,15.17,5.32,4.62,0.0
20200118:1111,126120.0,164.75,16.84,5.78,5.38,0.0
20200118:1211,154270.0,200.82,16.2,6.02,4.69,0.0
20200118:1311,20870.0,37.77,13.32,6.2,4.21,0.0
20200118:1411,38590.0,61.28,8.45,6.06,3.52,0.0
20200118:1511,0.0,0.0,0.0,5.72,3.31,0.0
20200118:1611,0.0,0.0,0.0,5.19,2.76,0.0
20200118:1711,0.0,0.0,0.0,4.48,2.55,0.0
20200118:1811,0.0,0.0,0.0,4.0,2.76,0.0
20200118:1911,0.0,0.0,0.0,3.8,2.9,0.0
20200118:2011,0.0,0.0,0.0,3.73,2.83,0.0
20200118:2111,0.0,0.0,0.0,3.82,2.9,0.0
20200118:2211,0.0,0.0,0.0,4.0,2.9,0.0
20200118:2311,0.0,0.0,0.0,4.06,2.9,0.0
20200119:0011,0.0,0.0,0.0,4.02,2.9,0.0
20200119:0111,0.0,0.0,0.0,3.82,2.97,0.0
20200119:0211,0.0,0.0,0.0,3.75,2.9,0.0
20200119:0311,0.0,0.0,0.0,3.53,2.62,0.0
20200119:0411,0.0,0.0,0.0,3.38,2.48,0.0
